SMILES,Most Basic,Most Acidic,Mass Solubility pH 1,Mass Solubility pH 2,Mass Solubility pH 3,Mass Solubility pH 4,Mass Solubility pH 5,Mass Solubility pH 6,Mass Solubility pH 7,Mass Solubility pH 8,Mass Solubility pH 9,Mass Solubility pH 10,LogD pH 1,LogD pH 2,LogD pH 3,LogD pH 4,LogD pH 5,LogD pH 6,LogD pH 7,LogD pH 8,LogD pH 9,LogD pH 10,Water Solubility,Caco-2 permeable,Melting Point (°C),Boiling Point (°C),Bioavailability,Bi Basic,Bi Acidic
C[S](=O)(=O)Nc1cc2OC=C(NC=O)C(=O)c2cc1Oc3ccccc3,-1.66,5.58,-1.6575773191777938,-1.6575773191777938,-1.6575773191777938,-1.6575773191777938,-1.585026652029182,-1.193820026016113,-0.431798275933005,0.17609125905568124,0.3222192947339193,0.38021124171160603,1.9,1.9,1.9,1.9,1.82,1.43,0.65,0.08,-0.08,-0.13,-1.173277479831008,,,,1.0,1.0,1.0
C[S](=O)(=O)Nc1ccc(cc1Oc2ccccc2)[N+]([O-])=O,-6.65,5.93,-1.3979400086720375,-1.3979400086720375,-1.3979400086720375,-1.3979400086720375,-1.3665315444204136,-1.080921907623926,-0.36653154442041347,0.3222192947339193,0.568201724066995,0.6020599913279624,2.7,2.7,2.7,2.69,2.65,2.37,1.65,0.97,0.73,0.7,-1.739928612014925,-0.55,2.157607853361668,,1.0,1.0,1.0
C[S](=O)(=O)OCCCCO[S](C)(=O)=O,,,0.8692317197309762,0.8692317197309762,0.8692317197309762,0.8692317197309762,0.8692317197309762,0.8692317197309762,0.8692317197309762,0.8692317197309762,0.8692317197309762,0.8692317197309762,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,1.8388490907372552,-0.5956,2.0273496077747564,,1.0,0.0,0.0
C[S](=O)(=O)c1cc(ccc1C(=O)c2cnoc2C3CC3)C(F)(F)F,-4.29,,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,-1.8239087409443189,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,-1.3260580013659122,,,,1.0,1.0,0.0
C[S](=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3,,,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.026872146400301365,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,,-0.5696,,,1.0,0.0,0.0
C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,-1.73,11.05,0.5314789170422551,0.5185139398778874,0.5185139398778874,0.5185139398778874,0.5185139398778874,0.5185139398778874,0.5185139398778874,0.5314789170422551,0.5314789170422551,0.5910646070264992,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.28,-0.34,0.35602585719312274,-0.61,,,1.0,1.0,1.0
C[S](=O)(=O)c1ccc2Sc3ccccc3N(CCCN4CCC(CC4)C(N)=O)c2c1,8.4,16.44,0.17609125905568124,0.17609125905568124,0.17609125905568124,0.146128035678238,-0.05060999335508721,-0.721246399047171,-1.6382721639824072,-2.468521082957745,-2.853871964321762,-2.9208187539523753,0.22,0.23,0.23,0.26,0.45,1.11,2.04,2.87,3.25,3.32,-1.7212463990471711,,,,1.0,1.0,1.0
C[S](C)(=O)=O,,,2.2648178230095364,2.2648178230095364,2.2648178230095364,2.2648178230095364,2.2648178230095364,2.2648178230095364,2.2648178230095364,2.2648178230095364,2.2648178230095364,2.2648178230095364,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,1.7466341989375787,,,,1.0,0.0,0.0
C[S](C)=O,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,1.8175653695597809,0.5211,1.2671717284030137,1.7993405494535817,1.0,0.0,0.0
C[Se]CC[C@H](N)C(O)=O,9.65,2.26,2.812244696800369,2.041392685158225,1.7075701760979363,1.6532125137753437,1.6532125137753437,1.6532125137753437,1.6532125137753437,1.6532125137753437,1.7558748556724915,2.230448921378274,-2.87,-2.6,-2.39,-2.35,-2.35,-2.35,-2.35,-2.36,-2.45,-2.86,2.037426497940624,,,,1.0,1.0,1.0
Cc1[nH]c2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2n1,7.32,12.8,-1.494850021680094,-1.5086383061657274,-1.5086383061657274,-1.5528419686577808,-1.8239087409443189,-2.5686362358410126,-3.42021640338319,-3.886056647693163,-4.0,-4.0,2.92,2.92,2.93,2.97,3.24,3.99,4.84,5.31,5.41,5.42,-0.8239087409443188,0.5291,,,1.0,1.0,1.0
Cc1[nH]c2cccc(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)c2c1,9.4,17.59,1.1139433523068367,1.1139433523068367,1.1139433523068367,1.1139433523068367,1.1139433523068367,0.9590413923210935,0.36172783601759284,-0.5376020021010439,-1.4202164033831899,-1.8860566476931633,1.71,1.72,1.72,1.72,1.74,1.88,2.47,3.38,4.25,4.71,,0.5503,,,1.0,1.0,1.0
Cc1c(C)c2OC(C)(CCc2c(C)c1O)COc3ccc(CC4SC(=O)NC4=O)cc3,-5.53,6.34,-2.9208187539523753,-2.9208187539523753,-2.9208187539523753,-2.9208187539523753,-2.886056647693163,-2.744727494896694,-2.1804560644581312,-1.3979400086720375,-1.0,-0.8860566476931632,4.69,4.69,4.69,4.69,4.67,4.53,3.97,3.19,2.77,2.68,-2.91721462968355,-0.6915,2.2671717284030137,,1.0,1.0,1.0
Cc1c(C[S](=O)c2[nH]c3ccccc3n2)nccc1OCC(F)(F)F,3.64,9.56,1.0791812460476249,-0.036212172654444715,-1.2839966563652008,-2.0,-2.1804560644581312,-2.2006594505464183,-2.2006594505464183,-2.2006594505464183,-2.154901959985743,-1.8860566476931633,-0.69,0.41,1.66,2.37,2.55,2.58,2.58,2.58,2.54,2.27,-3.0132282657337552,0.8866,2.255272505103306,,1.0,1.0,1.0
Cc1c(Cl)cccc1Nc2ncccc2C(O)=O,4.8,1.69,-0.9208187539523752,-1.494850021680094,-1.6575773191777938,-1.6197887582883939,-1.2596373105057561,-0.46852108295774486,0.505149978319906,1.2304489213782739,1.505149978319906,1.5314789170422551,2.54,2.95,3.07,3.03,2.7,2.03,1.64,1.57,1.56,1.56,-1.2716462179787715,,,,1.0,1.0,1.0
Cc1c(Nc2ncccc2C(O)=O)cccc1C(F)(F)F,4.8,1.7,-0.8860566476931632,-1.4436974992327127,-1.6020599913279623,-1.5686362358410126,-1.2291479883578558,-0.4089353929735008,0.5185139398778874,1.2304489213782739,1.4771212547196624,1.5185139398778875,2.56,2.97,3.09,3.05,2.73,2.06,1.66,1.59,1.58,1.58,-1.39577394691553,,,,1.0,1.0,1.0
Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,6.21,9.58,0.0,-0.07058107428570728,-0.4559319556497244,-1.2924298239020637,-2.207608310501746,-2.853871964321762,-3.0409586076789066,-3.070581074285707,-2.958607314841775,-2.468521082957745,4.18,4.26,4.65,5.49,6.41,7.06,7.25,7.26,7.16,6.67,,-0.7148,2.5438694643368005,,1.0,1.0,1.0
