SMILES,Bi Basic,Bi Acidic,Bioavailability
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,0,0,0.0
CC(C)=CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,1,1,1.0
CC(C)=CCN,1,0,1.0
CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(O)=O)cc1,0,1,0.0
CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,1,0,1.0
CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,1,1,1.0
CC(C)C(=O)OCC(=O)[C@@]12O[C@@H](O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C)C6CCCCC6,0,1,0.0
CC(C)C(=O)c1c2ccccn2nc1C(C)C,1,0,1.0
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,0,1,1.0
CC(C)C1=C(C)N(C)N(c2ccccc2)C1=O,1,0,1.0
CC(C)C1CCC(C)CC1O,0,1,1.0
CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CSSCC(NC1=O)C(=O)NC(Cc5c[nH]c6ccccc56)C(N)=O)NC(=O)C(N)Cc7ccccc7,1,1,0.0
CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,1,1,0.0
CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2,1,0,1.0
